dx,dy,action
290,1,RIGHT
285,1,RIGHT
280,1,RIGHT
275,1,RIGHT
270,1,RIGHT
265,1,RIGHT
260,1,RIGHT
255,1,RIGHT
250,1,RIGHT
245,1,RIGHT
240,1,RIGHT
235,1,RIGHT
230,1,RIGHT
225,1,RIGHT
220,1,RIGHT
215,1,RIGHT
210,1,RIGHT
205,1,RIGHT
200,1,RIGHT
195,1,RIGHT
190,1,RIGHT
185,1,RIGHT
180,1,RIGHT
175,1,RIGHT
170,1,RIGHT
165,1,RIGHT
160,1,RIGHT
155,1,RIGHT
150,1,RIGHT
145,1,RIGHT
140,1,RIGHT
135,1,RIGHT
130,1,RIGHT
125,1,RIGHT
120,1,RIGHT
115,1,RIGHT
110,1,RIGHT
105,1,RIGHT
100,1,RIGHT
95,1,RIGHT
90,1,RIGHT
85,1,RIGHT
80,1,RIGHT
75,1,RIGHT
70,1,RIGHT
65,1,RIGHT
60,1,RIGHT
55,1,RIGHT
50,1,DOWN
45,-4,DOWN
40,-9,DOWN
35,-14,DOWN
30,-19,DOWN
25,-24,DOWN
20,-29,DOWN
15,-34,DOWN
15,-39,DOWN
15,-44,DOWN
15,-49,DOWN
15,-54,DOWN
15,-59,DOWN
15,-64,DOWN
15,-69,DOWN
15,-74,DOWN
15,-79,DOWN
15,-84,DOWN
15,-89,DOWN
15,-94,DOWN
15,-99,DOWN
15,-104,DOWN
15,-109,DOWN
15,-114,DOWN
15,-119,DOWN
15,-124,DOWN
20,-129,DOWN
25,-134,LEFT
30,-134,LEFT
35,-134,LEFT
40,-134,LEFT
45,-134,LEFT
50,-134,LEFT
55,-134,LEFT
60,-134,LEFT
65,-134,UP
70,-129,UP
75,-124,UP
80,-119,UP
85,-114,UP
90,-109,UP
95,-104,UP
100,-99,UP
100,-94,UP
100,-89,UP
100,-84,UP
100,-79,UP
100,-74,UP
100,-69,UP
100,-64,UP
100,-59,UP
100,-54,UP
100,-49,UP
100,-44,UP
95,-39,UP
90,-34,UP
85,-29,UP
80,-24,UP
75,-19,UP
70,-14,UP
65,-9,UP
60,-4,UP
55,1,UP
50,6,RIGHT
45,6,RIGHT
40,6,RIGHT
35,6,RIGHT
30,6,RIGHT
100,153,RIGHT
95,153,RIGHT
90,153,RIGHT
85,153,RIGHT
80,153,RIGHT
75,153,RIGHT
70,153,RIGHT
65,153,RIGHT
60,153,RIGHT
55,153,RIGHT
50,153,RIGHT
45,153,RIGHT
40,153,RIGHT
35,153,RIGHT
30,153,RIGHT
25,153,RIGHT
20,153,DOWN
15,148,DOWN
15,143,DOWN
15,138,DOWN
15,133,DOWN
15,128,DOWN
15,123,DOWN
15,118,DOWN
15,113,DOWN
15,108,DOWN
15,103,DOWN
15,98,DOWN
15,93,DOWN
15,88,DOWN
15,83,DOWN
15,78,DOWN
15,73,DOWN
15,68,DOWN
15,63,DOWN
15,58,DOWN
15,53,DOWN
15,48,DOWN
15,43,DOWN
15,38,DOWN
15,33,DOWN
-73,26,DOWN
-73,21,DOWN
-73,16,DOWN
-73,11,DOWN
-73,6,DOWN
-73,1,DOWN
-68,-4,DOWN
-63,-9,DOWN
-58,-14,DOWN
-53,-19,LEFT
-48,-19,LEFT
-43,-19,LEFT
-38,-19,LEFT
-33,-19,LEFT
-28,-19,LEFT
-23,-19,LEFT
-18,-19,LEFT
-13,-19,LEFT
-8,-19,LEFT
-3,-19,LEFT
2,-19,LEFT
7,-19,LEFT
12,-19,LEFT
17,-19,LEFT
22,-19,LEFT
27,-19,UP
32,-14,UP
37,-9,UP
42,-4,UP
47,1,UP
52,6,UP
57,11,UP
62,16,UP
67,21,UP
72,26,UP
77,31,UP
82,36,UP
87,41,UP
87,46,UP
87,51,UP
87,56,UP
87,61,UP
87,66,UP
82,71,RIGHT
77,71,RIGHT
72,71,RIGHT
67,71,RIGHT
62,71,RIGHT
57,71,RIGHT
52,71,RIGHT
47,71,RIGHT
42,71,RIGHT
37,71,RIGHT
32,71,RIGHT
27,71,RIGHT
22,71,RIGHT
17,71,RIGHT
12,71,RIGHT
7,71,DOWN
2,66,DOWN
-3,61,DOWN
-8,56,DOWN
-8,51,DOWN
-8,46,DOWN
-8,41,DOWN
-8,36,DOWN
-8,31,DOWN
-544,16,DOWN
-544,11,DOWN
-539,6,DOWN
-534,1,DOWN
-529,-4,DOWN
-524,-9,LEFT
-519,-9,LEFT
-514,-9,LEFT
-509,-9,LEFT
-504,-9,LEFT
-499,-9,LEFT
-494,-9,LEFT
-489,-9,LEFT
-484,-9,LEFT
-479,-9,LEFT
-474,-9,LEFT
-469,-9,LEFT
-464,-9,LEFT
-459,-9,LEFT
-454,-9,LEFT
-449,-9,LEFT
-444,-9,LEFT
-439,-9,LEFT
-434,-9,LEFT
-429,-9,LEFT
-424,-9,LEFT
-419,-9,LEFT
-414,-9,LEFT
-409,-9,LEFT
-404,-9,LEFT
-399,-9,LEFT
-394,-9,LEFT
-389,-9,LEFT
-384,-9,LEFT
-379,-9,LEFT
-374,-9,LEFT
-369,-9,LEFT
-364,-9,LEFT
-359,-9,LEFT
-354,-9,LEFT
-349,-9,LEFT
-344,-9,LEFT
-339,-9,LEFT
-334,-9,LEFT
-329,-9,LEFT
-324,-9,LEFT
-319,-9,LEFT
-314,-9,LEFT
-309,-9,LEFT
-304,-9,LEFT
-299,-9,LEFT
-294,-9,LEFT
-289,-9,LEFT
-284,-9,LEFT
-279,-9,LEFT
-274,-9,LEFT
-269,-9,LEFT
-264,-9,LEFT
-259,-9,LEFT
-254,-9,LEFT
-249,-9,LEFT
-244,-9,LEFT
-239,-9,LEFT
-234,-9,LEFT
-229,-9,LEFT
-224,-9,LEFT
-219,-9,LEFT
-214,-9,LEFT
-209,-9,LEFT
-204,-9,LEFT
-199,-9,LEFT
-194,-9,LEFT
-189,-9,LEFT
-184,-9,LEFT
-179,-9,LEFT
-174,-9,LEFT
-169,-9,LEFT
-164,-9,LEFT
-159,-9,LEFT
-154,-9,LEFT
-149,-9,LEFT
-144,-9,LEFT
-139,-9,LEFT
-134,-9,LEFT
-129,-9,LEFT
-124,-9,LEFT
-119,-9,LEFT
-114,-9,LEFT
-109,-9,LEFT
-104,-9,LEFT
-99,-9,LEFT
-94,-9,LEFT
-89,-9,LEFT
-84,-9,LEFT
-79,-9,LEFT
-74,-9,LEFT
-69,-9,LEFT
-64,-9,LEFT
-59,-9,LEFT
-54,-9,LEFT
-49,-9,LEFT
-44,-9,LEFT
-39,-9,LEFT
-34,-9,LEFT
-29,-9,LEFT
-24,-9,LEFT
-19,-9,LEFT
-14,-9,LEFT
-39,133,LEFT
-34,133,LEFT
-29,133,UP
-24,138,UP
-19,143,UP
-14,148,UP
-9,153,UP
-9,158,UP
-9,163,UP
-9,168,UP
-9,173,UP
-9,178,UP
-9,183,UP
-9,188,UP
-9,193,UP
-9,198,UP
-9,203,UP
-9,208,UP
-9,213,UP
-9,218,UP
-9,223,UP
-9,228,LEFT
-4,228,LEFT
1,228,LEFT
6,228,LEFT
11,228,LEFT
16,228,LEFT
21,228,DOWN
26,223,DOWN
26,218,DOWN
26,213,DOWN
26,208,DOWN
26,203,DOWN
26,198,DOWN
26,193,DOWN
26,188,DOWN
26,183,DOWN
26,178,DOWN
26,173,DOWN
26,168,DOWN
26,163,DOWN
26,158,DOWN
26,153,DOWN
26,148,DOWN
26,143,DOWN
26,138,DOWN
26,133,DOWN
26,128,DOWN
26,123,DOWN
26,118,DOWN
26,113,DOWN
26,108,DOWN
26,103,DOWN
26,98,DOWN
26,93,DOWN
